label,step,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,TV,lyap_E,decision_loss,alpha,beta,D,sensor_fraction,MI,corr
Fixed-clean VIFD,0,27.04657879295625,27.005173655091923,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.1939784978239895e-16,0.0
Fixed-clean VIFD,5,27.27841845061217,27.031040336868294,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.16089385169016e-16,0.0
Fixed-clean VIFD,10,27.50852063140666,27.0569039569119,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,15,27.736911703214485,27.082764062481573,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,20,27.963617427652146,27.108620280746212,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,-2.1485035972546025e-16,0.0
Fixed-clean VIFD,25,28.188662978834365,27.13447228846475,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,30,28.412072961402345,27.160319795699163,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,35,28.63387142785779,27.18616253633786,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,40,28.854081895234927,27.21200026219018,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,45,29.072727361140963,27.23783273909079,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,-2.262301457278681e-16,0.0
Fixed-clean VIFD,50,29.289830319193737,27.263659744207754,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,55,29.505412773883872,27.289481064110337,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.163336342344335e-16,0.0
Fixed-clean VIFD,60,29.719496254887233,27.315296493338415,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.440892098500624e-16,0.0
Fixed-clean VIFD,65,29.932101830852126,27.34110583331536,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,70,30.1432501226845,27.366908891503815,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,75,30.35296131635304,27.392705480737646,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503126e-16,0.0
Fixed-clean VIFD,80,30.56125517523512,27.418495418684838,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,85,30.768151052023352,27.44427852740938,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.440892098500624e-16,0.0
