Parameter,Value,Unit/Constraint
Domain $L$,$1\times1$ m^2,-
Grid $N\times N$,100	imes100,-
dx,0.0100$,m
dt,0.0006$,s (normalised)
Thermal cond. $k$,0.01$,W/(m.K)
Cooling coeff. $h$,8.0$,W/(m^2.K)
Ambient $T_\infty$,22.0°C,-
Safe limit $T_{\rm safe}$,45.0°C,-
Critical $T_{\rm crit}$,70.0°C,-
Diffusion $D$,0.00035$,-
Relaxation $\alpha$,3.5$,-
Energy penalty $\beta$,0.2$,-
Iterations $N_t$,1500$,-
$r_T$ (vN thermal),0.06000$,$\leq0.25$ OK
$r_\pi$ (vN decision),0.00210$,$\leq0.25$ OK
CFL,0.00764$,$\leq1$ OK
Lyap. rate $2(\alpha+\beta)$,7.40$,$>0$ OK
