step,max_uncertainty,mean_uncertainty,uncertainty_spread,analytical_sigma2
0,1.0,0.0064,0.0064,1.6799999999999998e-06
1,1.0,0.0064,0.0064,3.3599999999999996e-06
2,1.0,0.0064,0.0064,5.04e-06
3,0.9999999993776608,0.0064,0.0064,6.719999999999999e-06
4,0.9999999969092146,0.0064,0.0064,8.4e-06
5,0.9999999907898925,0.0063999999999999994,0.0064,1.008e-05
6,0.9999999786538789,0.0064,0.0064,1.176e-05
7,0.999999957593801,0.0064,0.0064,1.3439999999999998e-05
8,0.9999999241797648,0.0064,0.0064,1.5119999999999998e-05
9,0.9999998744779444,0.0063999999999999994,0.0064,1.68e-05
10,0.9999998040687348,0.0064,0.0064,1.8479999999999996e-05
11,0.999999708064477,0.0064,0.0064,2.016e-05
12,0.9999995811267636,0.0063999999999999994,0.0088,2.1839999999999998e-05
13,0.9999994174833329,0.0063999999999999994,0.0096,2.352e-05
14,0.9999992109445616,0.0064,0.0096,2.52e-05
15,0.9999989549195616,0.0063999999999999994,0.0096,2.6879999999999997e-05
16,0.9999986424318915,0.0064,0.0096,2.8559999999999998e-05
17,0.9999982661348886,0.0064,0.0096,3.0239999999999995e-05
18,0.9999978183266307,0.006400000000000001,0.0096,3.192e-05
19,0.9999972909645339,0.006400000000000001,0.0096,3.36e-05
20,0.9999966756795948,0.0063999999999999994,0.0096,3.5279999999999994e-05
21,0.9999959637902842,0.0063999999999999994,0.0096,3.695999999999999e-05
22,0.9999951463160989,0.006400000000000001,0.0096,3.8639999999999996e-05
23,0.9999942139907793,0.0064,0.0096,4.032e-05
24,0.9999931572751994,0.006400000000000001,0.0096,4.2e-05
25,0.9999919663699361,0.0064,0.0096,4.3679999999999995e-05
26,0.999990631227524,0.0063999999999999994,0.0096,4.536e-05
27,0.9999891415644021,0.0063999999999999994,0.0096,4.704e-05
28,0.9999874868725609,0.0064,0.0096,4.8719999999999994e-05
29,0.9999856564308922,0.006400000000000001,0.0096,5.04e-05
30,0.9999836393162519,0.0063999999999999994,0.0096,5.2079999999999996e-05
31,0.9999814244142387,0.0064,0.0096,5.3759999999999994e-05
32,0.999979000429696,0.0064,0.0096,5.543999999999999e-05
33,0.9999763558969439,0.0064,0.0096,5.7119999999999995e-05
34,0.9999734791897437,0.0064,0.0096,5.879999999999999e-05
35,0.9999703585310039,0.006400000000000001,0.0096,6.047999999999999e-05
36,0.999966982002232,0.0064,0.0096,6.215999999999999e-05
37,0.9999633375527358,0.0064,0.0096,6.384e-05
38,0.9999594130085824,0.0064,0.0096,6.552e-05
39,0.9999551960813179,0.0064,0.0096,6.72e-05
40,0.9999506743764534,0.0064,0.0096,6.887999999999999e-05
41,0.9999458354017229,0.0064,0.0096,7.055999999999999e-05
42,0.9999406665751174,0.0064,0.0096,7.223999999999999e-05
43,0.9999351552326994,0.0063999999999999994,0.0096,7.391999999999998e-05
44,0.9999292886362039,0.0064,0.0096,7.56e-05
45,0.9999230539804296,0.0064,0.0096,7.727999999999999e-05
46,0.9999164384004244,0.0064,0.0096,7.895999999999999e-05
47,0.9999094289784712,0.0064,0.0096,8.064e-05
48,0.999902012750876,0.0063999999999999994,0.0096,8.232e-05
49,0.9998941767145645,0.0064,0.0096,8.4e-05
50,0.9998859078334909,0.0063999999999999994,0.0096,8.567999999999999e-05
51,0.9998771930448622,0.0064,0.0096,8.735999999999999e-05
52,0.9998680192651833,0.0063999999999999994,0.0096,8.903999999999999e-05
53,0.9998583733961249,0.0064,0.0096,9.072e-05
54,0.9998482423302205,0.0064,0.0096,9.239999999999998e-05
55,0.9998376129563942,0.006400000000000001,0.0096,9.408e-05
56,0.9998264721653237,0.0064,0.0096,9.575999999999998e-05
57,0.9998148068546433,0.0064,0.0096,9.743999999999999e-05
58,0.9998026039339876,0.0064,0.0096,9.911999999999999e-05
59,0.9997898503298825,0.0064,0.0096,0.0001008
60,0.9997765329904856,0.0064,0.0096,0.00010247999999999998
61,0.9997626388901779,0.0064,0.0096,0.00010415999999999999
62,0.9997481550340128,0.0064,0.0096,0.00010583999999999998
63,0.9997330684620239,0.0064,0.0096,0.00010751999999999999
64,0.9997173662533949,0.0063999999999999994,0.0096,0.0001092
65,0.9997010355304949,0.0064,0.0096,0.00011087999999999998
66,0.9996840634627826,0.0063999999999999994,0.0096,0.00011255999999999999
67,0.999666437270581,0.0064,0.0096,0.00011423999999999999
68,0.9996481442287276,0.0063999999999999994,0.0096,0.00011592
69,0.9996291716701005,0.0064,0.0096,0.00011759999999999999
70,0.999609506989025,0.006400000000000001,0.0096,0.00011928
71,0.9995891376445633,0.006399999999999999,0.0096,0.00012095999999999998
72,0.9995680511636886,0.0064,0.0096,0.00012264
73,0.9995462351443478,0.0063999999999999994,0.0096,0.00012431999999999998
