step,lyap_E,mse,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,heat_removed,TV
0,0.0,0.0,27.04657879295625,27.005173655091923,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,27.09308700915906,27.010347210664825,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,27.13952486658549,27.01552066142335,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,27.185892582185648,27.02069400242339,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,27.23219037188926,27.025867229027714,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,27.27841845061217,27.031040336868294,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,27.324577032262773,27.03621332181431,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,27.37066632974844,27.041386179944787,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,27.416686554981823,27.046558907525196,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,27.462637918887197,27.05173150098733,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,27.50852063140666,27.0569039569119,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,27.554334901506362,27.062076272013517,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,27.60008093718263,27.067248443127603,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,27.645758945468064,27.072420467199013,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,27.691369132437597,27.07759234127202,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,27.736911703214485,27.082764062481573,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,27.782386861976267,27.087935628045596,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,27.827794811960658,27.09310703525811,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,27.87313575547142,27.09827828148322,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,27.91840989388417,27.103449364149704,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,27.963617427652146,27.108620280746212,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,28.008758556311925,27.11379102881695,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,28.053833478489107,27.11896160595782,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,28.098842391903947,27.12413200981293,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,28.14378549337694,27.129302238071443,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,28.188662978834365,27.13447228846475,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,28.233475043313785,27.13964215876385,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,28.278221880969515,27.144811846777035,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,28.322903685078032,27.149981350347716,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,28.367520648043346,27.155150667352444,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,28.412072961402345,27.160319795699163,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,28.45656081583007,27.16548873332551,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,28.500984401144983,27.17065747819731,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,28.545343906314166,27.175826028307185,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,28.5896395194585,27.180994381673234,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,28.63387142785779,27.18616253633786,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,28.67803981795586,27.19133049036663,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,28.722144875365604,27.196498241847284,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,28.766186784874,27.20166578888871,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,28.810165730447096,27.206833129620122,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,28.854081895234927,27.21200026219018,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,28.897935461576438,27.2171671847662,0.0,0.0,0.0,0.0,0.0
